Rank,Name,WAR,BT,SB,BR,Def,Rep-Wins,Pos-Wins,GS,GR,GS,GR,GS,GR,Season,Position
42,김주찬,-0.12,0.01,-0.06,-0.01,-0.04,0.01,-0.03,0.00,0.00,0.00,0.00,0.00,0.00,20,1B
43,고장혁,-0.13,-0.17,0.00,-0.02,-0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,20,3B
44,김명찬,-0.16,0.00,0.00,0.00,0.00,0.00,0.00,,-0.23,,0.05,,-0.16,20,P
45,최정민,-0.16,-0.11,0.02,-0.05,-0.10,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00,20,2B
46,김영환,-0.17,-0.14,-0.02,0.00,-0.05,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00,20,2B
47,양승철,-0.17,0.00,0.00,0.00,0.00,0.00,0.00,0.03,-0.47,0.05,0.16,0.09,-0.27,20,P
48,문선재,-0.21,-0.09,0.00,-0.18,0.04,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,20,RF
49,김규성,-0.21,-1.33,0.00,0.00,0.06,0.07,0.18,0.00,0.00,0.00,0.00,0.00,0.00,20,2B
50,이우성,-0.23,-0.42,0.02,-0.02,-0.09,0.03,0.04,0.00,0.00,0.00,0.00,0.00,0.00,20,RF
1,최원준,3.60,0.81,0.15,0.10,0.10,0.28,-0.60,0.00,0.00,0.00,0.00,0.00,0.00,21,CF
2,멩덴,3.48,0.00,0.00,0.00,0.00,0.00,0.00,1.44,,2.09,,3.48,,21,P
3,임기영,3.27,0.00,0.00,0.00,0.00,0.00,0.00,0.67,,2.58,,3.27,,21,P
4,이의리,2.80,0.00,0.00,0.00,0.00,0.00,0.00,1.18,0.00,1.65,0.00,2.80,0.00,21,P
5,김선빈,2.70,1.07,0.01,-0.10,-0.84,0.23,0.56,0.00,0.00,0.00,0.00,0.00,0.00,21,2B
6,정해영,2.56,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.04,0.00,0.55,0.00,2.56,21,P
7,장현식,2.43,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.82,0.00,0.64,0.00,2.43,21,P
8,브룩스,2.31,0.00,0.00,0.00,0.00,0.00,0.00,0.98,,1.36,,2.31,,21,P
9,류지혁,2.01,0.23,0.01,0.00,0.61,0.14,-0.24,0.00,0.00,0.00,0.00,0.00,0.00,21,3B
10,박찬호,1.87,-1.20,-0.01,0.01,0.16,0.20,0.93,0.00,0.00,0.00,0.00,0.00,0.00,21,SS
11,김민식,1.66,-0.85,0.01,0.02,0.16,0.12,0.75,0.00,0.00,0.00,0.00,0.00,0.00,21,C
12,최형우,1.51,0.60,0.01,-0.11,0.05,0.18,-0.99,0.00,0.00,0.00,0.00,0.00,0.00,21,LF
13,윤중현,1.42,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.19,1.03,0.16,1.07,0.36,21,P
14,한승택,1.25,-0.85,0.00,0.01,0.56,0.10,0.55,0.00,0.00,0.00,0.00,0.00,0.00,21,C
15,김호령,0.86,-0.37,0.03,0.11,0.37,0.06,0.00,0.00,0.00,0.00,0.00,0.00,0.00,21,CF
